"","municipio","uf","lat","long"
"111","Lagoa Alegre","PI",-4.4413803,-42.5951277
"112","Lagoa de São Francisco","PI",-4.3853512,-41.59924755
"113","Lagoa do Barro do Piauí","PI",-8.47493466666667,-41.5254576333333
"114","Lagoa do Piauí","PI",-5.4147064,-42.6422736
"115","Lagoa do Sítio","PI",-6.5078491,-41.5813398
"116","Lagoinha do Piauí","PI",-5.8310251,-42.6256738
"117","Landri Sales","PI",-7.2451807,-43.930396
"118","Luzilândia","PI",-3.46396437142857,-42.3689824
"119","Luís Correia","PI",-2.880507375,-41.6641378875
"120","Madeiro","PI",-3.4842311,-42.5038096
"121","Manoel Emídio","PI",-8.0082152,-43.8644463
"122","Marcolândia","PI",-7.4453117,-40.6582578
"123","Marcos Parente","PI",-7.122707,-43.8918276
"124","Massapê do Piauí","PI",-7.4619014,-41.1216652
"125","Matias Olímpio","PI",-3.7164046,-42.5564501
"126","Miguel Alves","PI",-4.1696454625,-42.8947282
"127","Miguel Leão","PI",-5.678556,-42.7386215
"128","Milton Brandão","PI",-4.6855074,-41.4369646
"129","Monsenhor Gil","PI",-5.5629634,-42.6168345
"130","Monsenhor Hipólito","PI",-7.0015496,-41.0293732
"131","Monte Alegre do Piauí","PI",-9.7555906,-45.3063421
"132","Morro Cabeça no Tempo","PI",-9.7300671,-43.9087014
"133","Morro do Chapéu do Piauí","PI",-3.7435339,-42.3127144
"134","Murici dos Portelas","PI",-3.3360503,-42.0954927
"135","Nazaré do Piauí","PI",-6.9697201,-42.6697219
"136","Nossa Senhora de Nazaré","PI",-4.6295987,-42.1694998
"137","Nossa Senhora dos Remédios","PI",-3.9774532,-42.6186467
"138","Nova Santa Rita","PI",-8.0873904,-42.0523715
"139","Novo Oriente do Piauí","PI",-6.44901506666667,-41.9349677
"140","Novo Santo Antônio","PI",-5.2911601,-41.9336515
"141","Oeiras","PI",-7.01727021666667,-42.130192
"142","Olho D'Água do Piauí","PI",-5.8475732,-42.5753854
"143","Padre Marcos","PI",-7.3568739,-40.9041545
"144","Paes Landim","PI",-7.7771884,-42.2555447
"145","Pajeú do Piauí","PI",-7.8568173,-42.8216108
"146","Palmeira do Piauí","PI",-8.728081,-44.2367696
"147","Palmeirais","PI",-5.9697136,-43.0537269
"148","Paquetá","PI",-7.1105537,-41.6973381
"149","Parnaguá","PI",-10.229765,-44.6339891
"150","Parnaíba","PI",-2.90414196923077,-41.7751811384615
"151","Passagem Franca do Piauí","PI",-5.8567393,-42.4387555
"152","Patos do Piauí","PI",-7.6666506,-41.2360842
"153","Pau D'Arco do Piauí","PI",-5.2730947,-42.4046118
"154","Paulistana","PI",-8.1553887,-41.1539831
"155","Pavussu","PI",-7.9485645,-43.1973585
"156","Pedro II","PI",-4.4279402,-41.45933475
"157","Pedro Laurentino","PI",-8.0679311,-42.2877682
"158","Picos","PI",-7.08566631923077,-41.4682228230769
